,Year,Channel,Arm,Values,Seed,Scenario
0,2019.0,Incident Cases,Control,0,0,Baseline
1,2019.0192307692307,Incident Cases,Control,0,0,Baseline
2,2019.0384615384614,Incident Cases,Control,0,0,Baseline
3,2019.0576923076922,Incident Cases,Control,0,0,Baseline
4,2019.0769230769229,Incident Cases,Control,0,0,Baseline
5,2019.0961538461536,Incident Cases,Control,0,0,Baseline
6,2019.1153846153843,Incident Cases,Control,0,0,Baseline
7,2019.134615384615,Incident Cases,Control,0,0,Baseline
8,2019.1538461538457,Incident Cases,Control,0,0,Baseline
9,2019.1730769230765,Incident Cases,Control,0,0,Baseline
10,2019.1923076923072,Incident Cases,Control,0,0,Baseline
11,2019.2115384615379,Incident Cases,Control,0,0,Baseline
12,2019.2307692307686,Incident Cases,Control,0,0,Baseline
13,2019.2499999999993,Incident Cases,Control,0,0,Baseline
14,2019.26923076923,Incident Cases,Control,0,0,Baseline
15,2019.2884615384608,Incident Cases,Control,0,0,Baseline
16,2019.3076923076915,Incident Cases,Control,0,0,Baseline
17,2019.3269230769222,Incident Cases,Control,0,0,Baseline
18,2019.346153846153,Incident Cases,Control,0,0,Baseline
19,2019.3653846153836,Incident Cases,Control,0,0,Baseline
20,2019.3846153846143,Incident Cases,Control,0,0,Baseline
21,2019.403846153845,Incident Cases,Control,0,0,Baseline
22,2019.4230769230758,Incident Cases,Control,2,0,Baseline
23,2019.4423076923065,Incident Cases,Control,2,0,Baseline
24,2019.4615384615372,Incident Cases,Control,2,0,Baseline
25,2019.480769230768,Incident Cases,Control,2,0,Baseline
26,2019.4999999999986,Incident Cases,Control,3,0,Baseline
27,2019.5192307692294,Incident Cases,Control,5,0,Baseline
28,2019.53846153846,Incident Cases,Control,7,0,Baseline
29,2019.5576923076908,Incident Cases,Control,8,0,Baseline
30,2019.5769230769215,Incident Cases,Control,10,0,Baseline
31,2019.5961538461522,Incident Cases,Control,13,0,Baseline
32,2019.615384615383,Incident Cases,Control,16,0,Baseline
33,2019.6346153846137,Incident Cases,Control,20,0,Baseline
34,2019.6538461538444,Incident Cases,Control,23,0,Baseline
35,2019.673076923075,Incident Cases,Control,27,0,Baseline
36,2019.6923076923058,Incident Cases,Control,32,0,Baseline
37,2019.7115384615365,Incident Cases,Control,35,0,Baseline
38,2019.7307692307672,Incident Cases,Control,39,0,Baseline
39,2019.749999999998,Incident Cases,Control,42,0,Baseline
40,2019.7692307692287,Incident Cases,Control,46,0,Baseline
41,2019.7884615384594,Incident Cases,Control,52,0,Baseline
42,2019.80769230769,Incident Cases,Control,57,0,Baseline
43,2019.8269230769208,Incident Cases,Control,60,0,Baseline
44,2019.8461538461515,Incident Cases,Control,65,0,Baseline
45,2019.8653846153823,Incident Cases,Control,72,0,Baseline
46,2019.884615384613,Incident Cases,Control,79,0,Baseline
47,2019.9038461538437,Incident Cases,Control,86,0,Baseline
48,2019.9230769230744,Incident Cases,Control,89,0,Baseline
49,2019.9423076923051,Incident Cases,Control,95,0,Baseline
50,2019.9615384615358,Incident Cases,Control,105,0,Baseline
51,2019.9807692307666,Incident Cases,Control,112,0,Baseline
52,2019.9999999999973,Incident Cases,Control,120,0,Baseline
53,2020.019230769228,Incident Cases,Control,127,0,Baseline
54,2020.0384615384587,Incident Cases,Control,136,0,Baseline
55,2020.0576923076894,Incident Cases,Control,148,0,Baseline
56,2020.0769230769201,Incident Cases,Control,157,0,Baseline
57,2020.0961538461509,Incident Cases,Control,165,0,Baseline
58,2020.1153846153816,Incident Cases,Control,174,0,Baseline
59,2020.1346153846123,Incident Cases,Control,183,0,Baseline
60,2020.153846153843,Incident Cases,Control,197,0,Baseline
61,2020.1730769230737,Incident Cases,Control,207,0,Baseline
62,2020.1923076923044,Incident Cases,Control,216,0,Baseline
63,2020.2115384615352,Incident Cases,Control,225,0,Baseline
64,2020.2307692307659,Incident Cases,Control,235,0,Baseline
65,2020.2499999999966,Incident Cases,Control,250,0,Baseline
66,2020.2692307692273,Incident Cases,Control,259,0,Baseline
67,2020.288461538458,Incident Cases,Control,269,0,Baseline
68,2020.3076923076887,Incident Cases,Control,281,0,Baseline
69,2020.3269230769195,Incident Cases,Control,290,0,Baseline
70,2020.3461538461502,Incident Cases,Control,303,0,Baseline
71,2020.365384615381,Incident Cases,Control,310,0,Baseline
72,2020.3846153846116,Incident Cases,Control,318,0,Baseline
73,2020.4038461538423,Incident Cases,Control,327,0,Baseline
74,2020.423076923073,Incident Cases,Control,333,0,Baseline
75,2020.4423076923038,Incident Cases,Control,341,0,Baseline
76,2020.4615384615345,Incident Cases,Control,345,0,Baseline
77,2020.4807692307652,Incident Cases,Control,354,0,Baseline
78,2020.499999999996,Incident Cases,Control,365,0,Baseline
79,2020.5192307692266,Incident Cases,Control,369,0,Baseline
80,2020.5384615384573,Incident Cases,Control,376,0,Baseline
81,2020.557692307688,Incident Cases,Control,383,0,Baseline
82,2020.5769230769188,Incident Cases,Control,387,0,Baseline
83,2020.5961538461495,Incident Cases,Control,394,0,Baseline
84,2020.6153846153802,Incident Cases,Control,399,0,Baseline
85,2020.634615384611,Incident Cases,Control,404,0,Baseline
86,2020.6538461538416,Incident Cases,Control,412,0,Baseline
87,2020.6730769230724,Incident Cases,Control,418,0,Baseline
88,2020.692307692303,Incident Cases,Control,422,0,Baseline
89,2020.7115384615338,Incident Cases,Control,424,0,Baseline
90,2020.7307692307645,Incident Cases,Control,432,0,Baseline
91,2020.7499999999952,Incident Cases,Control,445,0,Baseline
92,2020.769230769226,Incident Cases,Control,448,0,Baseline
93,2020.7884615384567,Incident Cases,Control,452,0,Baseline
94,2020.8076923076874,Incident Cases,Control,457,0,Baseline
95,2020.826923076918,Incident Cases,Control,461,0,Baseline
96,2020.8461538461488,Incident Cases,Control,468,0,Baseline
97,2020.8653846153795,Incident Cases,Control,472,0,Baseline
98,2020.8846153846102,Incident Cases,Control,477,0,Baseline
99,2020.903846153841,Incident Cases,Control,485,0,Baseline
100,2020.9230769230717,Incident Cases,Control,492,0,Baseline
101,2020.9423076923024,Incident Cases,Control,498,0,Baseline
102,2020.961538461533,Incident Cases,Control,502,0,Baseline
103,2020.9807692307638,Incident Cases,Control,511,0,Baseline
104,2020.9999999999945,Incident Cases,Control,523,0,Baseline
105,2021.0192307692253,Incident Cases,Control,527,0,Baseline
106,2021.038461538456,Incident Cases,Control,531,0,Baseline
107,2021.0576923076867,Incident Cases,Control,538,0,Baseline
108,2021.0769230769174,Incident Cases,Control,544,0,Baseline
109,2021.0961538461481,Incident Cases,Control,550,0,Baseline
110,2021.1153846153788,Incident Cases,Control,555,0,Baseline
111,2021.1346153846096,Incident Cases,Control,561,0,Baseline
112,2021.1538461538403,Incident Cases,Control,570,0,Baseline
113,2021.173076923071,Incident Cases,Control,576,0,Baseline
114,2021.1923076923017,Incident Cases,Control,583,0,Baseline
115,2021.2115384615324,Incident Cases,Control,587,0,Baseline
116,2021.2307692307631,Incident Cases,Control,598,0,Baseline
117,2021.2499999999939,Incident Cases,Control,612,0,Baseline
118,2021.2692307692246,Incident Cases,Control,617,0,Baseline
119,2021.2884615384553,Incident Cases,Control,623,0,Baseline
120,2021.307692307686,Incident Cases,Control,632,0,Baseline
121,2021.3269230769167,Incident Cases,Control,638,0,Baseline
122,2021.3461538461474,Incident Cases,Control,645,0,Baseline
123,2021.3653846153782,Incident Cases,Control,650,0,Baseline
124,2021.3846153846089,Incident Cases,Control,657,0,Baseline
125,2021.4038461538396,Incident Cases,Control,666,0,Baseline
126,2021.4230769230703,Incident Cases,Control,670,0,Baseline
127,2021.442307692301,Incident Cases,Control,678,0,Baseline
128,2021.4615384615317,Incident Cases,Control,683,0,Baseline
129,2021.4807692307625,Incident Cases,Control,689,0,Baseline
130,2021.4999999999932,Incident Cases,Control,695,0,Baseline
131,2021.519230769224,Incident Cases,Control,697,0,Baseline
132,2021.5384615384546,Incident Cases,Control,703,0,Baseline
133,2021.5576923076853,Incident Cases,Control,707,0,Baseline
134,2021.576923076916,Incident Cases,Control,707,0,Baseline
